	Chr	Position	Bg02es	Bj	Gm06990	Gm12801	Gm12812	Gm12813	Gm12878	Helas3	Hepg2	Huvec	Imr90	K562	Mcf7	Nhek	Sknsh
22_16098497	22	16098497	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16099826	22	16099826	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16104197	22	16104197	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16104216	22	16104216	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16104635	22	16104635	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16104906	22	16104906	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16105040	22	16105040	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16105105	22	16105105	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16108547	22	16108547	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16108824	22	16108824	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16112668	22	16112668	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16113836	22	16113836	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16115194	22	16115194	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16115575	22	16115575	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16115633	22	16115633	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16115854	22	16115854	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16116306	22	16116306	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16116810	22	16116810	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16117101	22	16117101	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16117111	22	16117111	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16117566	22	16117566	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16118422	22	16118422	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16118567	22	16118567	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16118771	22	16118771	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16118921	22	16118921	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16119052	22	16119052	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16120223	22	16120223	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16122030	22	16122030	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16122284	22	16122284	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16122492	22	16122492	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16122942	22	16122942	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16123677	22	16123677	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16124912	22	16124912	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16124959	22	16124959	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16125374	22	16125374	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16125386	22	16125386	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16125535	22	16125535	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16126243	22	16126243	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16126269	22	16126269	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16130169	22	16130169	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16130328	22	16130328	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16130580	22	16130580	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16130638	22	16130638	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16132992	22	16132992	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16133090	22	16133090	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16133180	22	16133180	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16133375	22	16133375	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16133434	22	16133434	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16133448	22	16133448	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16134591	22	16134591	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16134606	22	16134606	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16134752	22	16134752	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16136054	22	16136054	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16136260	22	16136260	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16136382	22	16136382	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16136750	22	16136750	23.26158	34.900894	40.52882	41.454159	30.810858	39.046127	38.771931	19.875677	27.70594	42.578438	27.495918	31.175117	23.365482	33.406857	24.942694
22_16138587	22	16138587	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16139908	22	16139908	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16140111	22	16140111	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16140529	22	16140529	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16141593	22	16141593	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16141669	22	16141669	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16141951	22	16141951	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16142519	22	16142519	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16143347	22	16143347	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16144333	22	16144333	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16146005	22	16146005	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16146292	22	16146292	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16147807	22	16147807	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16147906	22	16147906	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16148516	22	16148516	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16149527	22	16149527	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16149733	22	16149733	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16151997	22	16151997	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16152774	22	16152774	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16154840	22	16154840	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16155382	22	16155382	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16155434	22	16155434	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16155484	22	16155484	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16155703	22	16155703	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16156952	22	16156952	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16159370	22	16159370	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16161019	22	16161019	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16161190	22	16161190	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16161746	22	16161746	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16162219	22	16162219	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16162718	22	16162718	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16163442	22	16163442	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16163992	22	16163992	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16166163	22	16166163	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16166593	22	16166593	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16166795	22	16166795	46.070518	20.313335	16.438643	18.59749	20.895355	16.695099	14.650956	12.735713	16.166983	18.014759	15.705428	17.158432	20.003498	29.263391	19.564697
22_16166830	22	16166830	28.64397	64.131096	62.661682	59.69875	58.399109	61.203167	65.984505	30.666182	29.573753	46.663662	55.145248	42.817959	19.4119	41.370792	64.467896
22_16166989	22	16166989	28.64397	64.131096	62.661682	59.69875	58.399109	61.203167	65.984505	30.666182	29.573753	46.663662	55.145248	42.817959	19.4119	41.370792	64.467896
22_16167211	22	16167211	17.959463	14.116155	12.384906	15.926687	14.934887	14.225078	10.240742	10.398214	9.33979	10.676127	5.58853	13.040151	13.10728	15.007916	24.245728
22_16167225	22	16167225	17.959463	14.116155	12.384906	15.926687	14.934887	14.225078	10.240742	10.398214	9.33979	10.676127	5.58853	13.040151	13.10728	15.007916	24.245728
22_16167272	22	16167272	17.959463	14.116155	12.384906	15.926687	14.934887	14.225078	10.240742	10.398214	9.33979	10.676127	5.58853	13.040151	13.10728	15.007916	24.245728
22_16167380	22	16167380	17.959463	14.116155	12.384906	15.926687	14.934887	14.225078	10.240742	10.398214	9.33979	10.676127	5.58853	13.040151	13.10728	15.007916	24.245728
22_16167424	22	16167424	42.898361	18.846325	24.12607	24.789469	25.184397	21.973162	31.156372	59.480156	33.10144	15.041183	18.023262	21.464542	22.443132	17.820213	40.346664
22_16167678	22	16167678	42.898361	18.846325	24.12607	24.789469	25.184397	21.973162	31.156372	59.480156	33.10144	15.041183	18.023262	21.464542	22.443132	17.820213	40.346664
22_16167727	22	16167727	53.066059	56.718304	53.441292	52.764263	55.51656	56.958675	56.986874	40.362286	59.513958	60.05357	51.901295	58.849716	51.181412	56.498936	63.495369
22_16168019	22	16168019	53.066059	56.718304	53.441292	52.764263	55.51656	56.958675	56.986874	40.362286	59.513958	60.05357	51.901295	58.849716	51.181412	56.498936	63.495369
22_16168072	22	16168072	53.066059	56.718304	53.441292	52.764263	55.51656	56.958675	56.986874	40.362286	59.513958	60.05357	51.901295	58.849716	51.181412	56.498936	63.495369
22_16168276	22	16168276	53.066059	56.718304	53.441292	52.764263	55.51656	56.958675	56.986874	40.362286	59.513958	60.05357	51.901295	58.849716	51.181412	56.498936	63.495369
22_16168927	22	16168927	25.274599	14.39756	11.398197	15.762658	16.6404	13.55362	6.582348	8.923397	22.175928	12.993382	12.707489	17.905973	18.810957	19.497478	15.574335
