	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
22_16161019	22	16161019	0.28	0.294118	0.306931	0.318408	0.259481	0.321678	0.308346	0.345531	0.354565	0.373931	0.372253	0.369456	0.378478	0.382286	0.400725
22_16161190	22	16161190	0.2	0.215686	0.207921	0.243781	0.331337	0.370629	0.308846	0.346131	0.355964	0.373381	0.372613	0.369466	0.378488	0.382307	0.400782
22_16161746	22	16161746	0.32	0.313725	0.316832	0.393035	0.381238	0.378621	0.342329	0.346931	0.353765	0.374781	0.373133	0.369666	0.378393	0.382109	0.400844
22_16162219	22	16162219	0.24	0.254902	0.326733	0.328358	0.319361	0.308691	0.377811	0.346531	0.356764	0.376681	0.373133	0.368706	0.378398	0.381982	0.400903
22_16162718	22	16162718	0.52	0.411765	0.376238	0.358209	0.337325	0.378621	0.357321	0.363127	0.362564	0.375631	0.374073	0.368316	0.378403	0.381795	0.400946
22_16163442	22	16163442	0.44	0.411765	0.386139	0.432836	0.399202	0.414585	0.396802	0.385123	0.363664	0.371281	0.374973	0.367676	0.378323	0.38167	0.400964
22_16163992	22	16163992	0.32	0.411765	0.405941	0.41791	0.383234	0.405594	0.397301	0.378724	0.365863	0.371981	0.375212	0.367696	0.378298	0.381548	0.400938
22_16166163	22	16166163	0.36	0.411765	0.366337	0.328358	0.311377	0.304695	0.365817	0.383923	0.386361	0.372631	0.374433	0.368726	0.378173	0.381531	0.400855
22_16166593	22	16166593	0.4	0.352941	0.386139	0.39801	0.355289	0.340659	0.342829	0.386723	0.385561	0.370981	0.373593	0.369376	0.378148	0.381453	0.40085
22_16166795	22	16166795	0.36	0.45098	0.425743	0.363184	0.369261	0.360639	0.357821	0.382923	0.387061	0.370581	0.373693	0.369516	0.378098	0.38143	0.400836
22_16166830	22	16166830	0.52	0.490196	0.39604	0.368159	0.367265	0.364635	0.361819	0.381924	0.387261	0.370731	0.373693	0.369406	0.378103	0.381422	0.400827
22_16166989	22	16166989	0.36	0.313725	0.346535	0.353234	0.379242	0.385614	0.369315	0.380724	0.392061	0.371281	0.373333	0.369116	0.378083	0.381394	0.400817
22_16167211	22	16167211	0.4	0.372549	0.346535	0.39801	0.397206	0.383616	0.368316	0.380924	0.39596	0.373581	0.373113	0.369376	0.378043	0.381342	0.400808
22_16167225	22	16167225	0.28	0.352941	0.366337	0.393035	0.403194	0.386613	0.371814	0.380724	0.39646	0.373331	0.373193	0.369336	0.378043	0.381344	0.400805
22_16167272	22	16167272	0.44	0.470588	0.405941	0.378109	0.403194	0.391608	0.372314	0.380324	0.39686	0.373231	0.373253	0.369366	0.378018	0.381314	0.4008
22_16167380	22	16167380	0.44	0.411765	0.386139	0.39801	0.39521	0.394605	0.377311	0.380124	0.39646	0.374181	0.373733	0.369306	0.377993	0.381291	0.40079
22_16167424	22	16167424	0.32	0.372549	0.39604	0.383085	0.373253	0.398601	0.37931	0.379324	0.39676	0.374681	0.373893	0.369366	0.377988	0.38131	0.400794
22_16167678	22	16167678	0.52	0.431373	0.39604	0.39801	0.411178	0.387612	0.385807	0.382324	0.39676	0.375481	0.373773	0.369096	0.377993	0.381278	0.400789
22_16167727	22	16167727	0.56	0.431373	0.465347	0.422886	0.407186	0.38961	0.386307	0.382723	0.39716	0.375281	0.373893	0.369046	0.377983	0.381268	0.400792
22_16168019	22	16168019	0.24	0.27451	0.277228	0.363184	0.381238	0.387612	0.3998	0.375325	0.393061	0.374631	0.373953	0.368796	0.377913	0.381203	0.400771
22_16168072	22	16168072	0.4	0.45098	0.376238	0.333333	0.373253	0.382617	0.3993	0.372326	0.392661	0.374481	0.373953	0.368746	0.377923	0.381169	0.400777
22_16168276	22	16168276	0.4	0.392157	0.356436	0.363184	0.379242	0.384615	0.388806	0.377125	0.390661	0.373281	0.374733	0.368876	0.377803	0.381118	0.40078
22_16168927	22	16168927	0.4	0.352941	0.39604	0.457711	0.407186	0.400599	0.376312	0.390522	0.391461	0.372231	0.375672	0.368376	0.377788	0.381007	0.40074
22_16169206	22	16169206	0.28	0.313725	0.29703	0.298507	0.401198	0.388611	0.403298	0.39852	0.390261	0.371981	0.375212	0.368246	0.377758	0.380937	0.400754
22_16170431	22	16170431	0.32	0.392157	0.366337	0.348259	0.355289	0.427572	0.396802	0.39912	0.386461	0.373381	0.374573	0.369276	0.377678	0.380931	0.40071
22_16170522	22	16170522	0.28	0.333333	0.306931	0.333333	0.367265	0.411588	0.398801	0.39792	0.386961	0.373881	0.374153	0.369546	0.377703	0.38091	0.400723
