	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
21_13243056	21	13243056	0.2	0.196078	0.237624	0.303483	0.315369	0.298701	0.325837	0.353129	0.353265	0.358932	0.368893	0.358946	0.363923	0.375227	0.381884
21_13244082	21	13244082	0.84	0.568627	0.554455	0.562189	0.469062	0.405594	0.397801	0.340932	0.346065	0.362682	0.369153	0.358406	0.364053	0.375201	0.381925
21_13247733	21	13247733	0.52	0.411765	0.366337	0.323383	0.325349	0.370629	0.365317	0.360728	0.366263	0.362582	0.370493	0.356816	0.364448	0.374811	0.382131
21_13248038	21	13248038	0.2	0.333333	0.366337	0.402985	0.357285	0.336663	0.355322	0.364327	0.365063	0.366632	0.370613	0.356636	0.364383	0.374771	0.382124
21_13248548	21	13248548	0.12	0.235294	0.267327	0.343284	0.319361	0.346653	0.367316	0.368126	0.374963	0.367482	0.370653	0.356936	0.364038	0.374755	0.382124
21_13249222	21	13249222	0.36	0.45098	0.425743	0.447761	0.409182	0.421578	0.382809	0.367926	0.375962	0.365182	0.370273	0.357306	0.363758	0.374755	0.382142
21_13249755	21	13249755	0.64	0.509804	0.435644	0.497512	0.46507	0.42957	0.392804	0.371126	0.372563	0.365332	0.371053	0.357066	0.363508	0.374863	0.382148
21_13249775	21	13249775	0.76	0.627451	0.534653	0.482587	0.447106	0.428571	0.391304	0.372126	0.372663	0.365482	0.371093	0.357026	0.363513	0.374859	0.382149
21_13249955	21	13249955	0.36	0.392157	0.346535	0.348259	0.377246	0.410589	0.392804	0.375325	0.369863	0.367432	0.370993	0.356856	0.363683	0.374785	0.382151
21_13250541	21	13250541	0.32	0.431373	0.39604	0.432836	0.343313	0.341658	0.35932	0.370726	0.377262	0.368132	0.370593	0.356586	0.363688	0.374689	0.382146
21_13255384	21	13255384	0.6	0.54902	0.445545	0.412935	0.508982	0.470529	0.387306	0.384123	0.380762	0.371631	0.364553	0.357376	0.361973	0.374185	0.38198
21_13255471	21	13255471	0.6	0.529412	0.50495	0.502488	0.461078	0.464535	0.387306	0.390322	0.378962	0.371981	0.364613	0.357336	0.361933	0.374159	0.381975
21_13255783	21	13255783	0.44	0.509804	0.465347	0.427861	0.409182	0.385614	0.383308	0.375725	0.383062	0.374031	0.365113	0.357216	0.361908	0.374097	0.382009
21_13256287	21	13256287	0.12	0.196078	0.267327	0.278607	0.287425	0.308691	0.342329	0.374725	0.385061	0.375631	0.365233	0.356966	0.361903	0.373987	0.381989
21_13257752	21	13257752	0.56	0.627451	0.584158	0.547264	0.461078	0.37962	0.361319	0.374325	0.385561	0.375081	0.362413	0.357036	0.362078	0.373373	0.382028
21_13258267	21	13258267	0.28	0.333333	0.326733	0.318408	0.359281	0.400599	0.392304	0.366727	0.385161	0.374531	0.361313	0.356816	0.362158	0.373355	0.382016
21_13258612	21	13258612	0.2	0.235294	0.346535	0.378109	0.403194	0.385614	0.391804	0.368926	0.384762	0.374581	0.360753	0.356526	0.362323	0.373343	0.382015
21_13258634	21	13258634	0.4	0.333333	0.386139	0.373134	0.407186	0.386613	0.392304	0.368926	0.384662	0.374431	0.360493	0.356546	0.362353	0.373353	0.382013
21_13259274	21	13259274	0.4	0.431373	0.425743	0.39801	0.349301	0.368631	0.397801	0.387522	0.375062	0.372931	0.360293	0.356636	0.362368	0.373383	0.382014
21_13259327	21	13259327	0.52	0.392157	0.376238	0.358209	0.345309	0.373626	0.3993	0.388322	0.375362	0.373131	0.360273	0.356796	0.362343	0.373389	0.382007
21_13259328	21	13259328	0.52	0.392157	0.366337	0.363184	0.345309	0.374625	0.3993	0.388522	0.375362	0.373181	0.360293	0.356796	0.362343	0.373391	0.382007
21_13259437	21	13259437	0.28	0.294118	0.287129	0.293532	0.333333	0.380619	0.390805	0.393721	0.375062	0.373831	0.360353	0.356886	0.362328	0.373393	0.382006
21_13260291	21	13260291	0.32	0.411765	0.39604	0.38806	0.347305	0.427572	0.388806	0.390722	0.368763	0.373081	0.361013	0.358676	0.362978	0.373479	0.382042
21_13260446	21	13260446	0.36	0.313725	0.287129	0.273632	0.38523	0.408591	0.4008	0.384323	0.367863	0.373881	0.361193	0.358746	0.363188	0.373469	0.382027
21_13260670	21	13260670	0.52	0.431373	0.485149	0.507463	0.417166	0.393606	0.406797	0.388922	0.366363	0.374431	0.360913	0.358906	0.363333	0.373419	0.382015
21_13263238	21	13263238	0.6	0.45098	0.465347	0.452736	0.43513	0.386613	0.351324	0.365927	0.372063	0.371981	0.359753	0.362556	0.364363	0.373293	0.38225
21_13263241	21	13263241	0.52	0.45098	0.465347	0.442786	0.433134	0.387612	0.351324	0.365527	0.372063	0.371981	0.359773	0.362556	0.364363	0.373291	0.382251
21_13263590	21	13263590	0.44	0.372549	0.415842	0.338308	0.351297	0.357642	0.349325	0.364927	0.368163	0.370681	0.359173	0.363046	0.364613	0.373213	0.382327
21_13264585	21	13264585	0.36	0.392157	0.405941	0.333333	0.321357	0.324675	0.329835	0.345531	0.367663	0.365132	0.358433	0.363696	0.365548	0.373183	0.38254
21_13266595	21	13266595	0.36	0.392157	0.435644	0.343284	0.329341	0.328671	0.354323	0.34753	0.362864	0.361332	0.358533	0.364436	0.366048	0.373991	0.382626
21_13270143	21	13270143	0.36	0.372549	0.356436	0.338308	0.377246	0.424575	0.397301	0.362927	0.358764	0.354982	0.359393	0.365826	0.368583	0.374089	0.382734
21_13270891	21	13270891	0.24	0.294118	0.257426	0.263682	0.317365	0.372627	0.346327	0.368526	0.356264	0.354632	0.360353	0.366076	0.369018	0.374273	0.382703
21_13275836	21	13275836	0.4	0.372549	0.356436	0.323383	0.323353	0.338661	0.333333	0.324335	0.343166	0.351732	0.357653	0.369286	0.372693	0.374283	0.38265
21_13276330	21	13276330	0.44	0.392157	0.346535	0.323383	0.319361	0.345654	0.316842	0.323535	0.342966	0.350282	0.357053	0.369706	0.372838	0.374449	0.382696
21_13276427	21	13276427	0.48	0.313725	0.326733	0.348259	0.371257	0.338661	0.306847	0.324535	0.343266	0.349883	0.356993	0.369806	0.372888	0.374439	0.382693
21_13277477	21	13277477	0.4	0.411765	0.366337	0.303483	0.307385	0.284715	0.326337	0.335933	0.348865	0.350582	0.357453	0.368836	0.373288	0.374667	0.382644
21_13280528	21	13280528	0.44	0.431373	0.425743	0.437811	0.42515	0.382617	0.356322	0.364127	0.347265	0.344833	0.355053	0.370916	0.376253	0.374969	0.382577
21_13281034	21	13281034	0.28	0.27451	0.287129	0.293532	0.341317	0.371628	0.383308	0.356329	0.346965	0.344483	0.353673	0.370656	0.377148	0.375005	0.38257
21_13283230	21	13283230	0.36	0.333333	0.306931	0.283582	0.311377	0.321678	0.336332	0.353529	0.350365	0.341783	0.353773	0.368736	0.376628	0.375161	0.38261
21_13283953	21	13283953	0.4	0.470588	0.405941	0.383085	0.38523	0.378621	0.35982	0.346531	0.348265	0.343583	0.352793	0.368026	0.375788	0.375191	0.382596
21_13284328	21	13284328	0.52	0.431373	0.465347	0.432836	0.413174	0.404595	0.35932	0.343331	0.343266	0.345633	0.352173	0.367406	0.375408	0.375139	0.382597
21_13284448	21	13284448	0.24	0.313725	0.29703	0.373134	0.399202	0.405594	0.362819	0.338332	0.342266	0.346333	0.352293	0.367366	0.375293	0.375143	0.382599
21_13285173	21	13285173	0.36	0.352941	0.29703	0.318408	0.315369	0.33966	0.348826	0.339332	0.349565	0.347733	0.353273	0.367616	0.375318	0.375153	0.382657
21_13285281	21	13285281	0.2	0.254902	0.326733	0.318408	0.331337	0.322677	0.34033	0.338332	0.349165	0.348783	0.353653	0.367556	0.375333	0.375165	0.382654
21_13286509	21	13286509	0.44	0.372549	0.306931	0.318408	0.337325	0.326673	0.328336	0.336133	0.343466	0.351232	0.357833	0.367776	0.375353	0.375087	0.382625
21_13286662	21	13286662	0.32	0.313725	0.376238	0.358209	0.325349	0.321678	0.323338	0.335733	0.341166	0.350232	0.358013	0.367506	0.375323	0.375037	0.38262
21_13288828	21	13288828	0.36	0.372549	0.415842	0.383085	0.359281	0.332667	0.343828	0.342332	0.343266	0.350282	0.359753	0.366606	0.374958	0.374113	0.382581
21_13289671	21	13289671	0.4	0.431373	0.39604	0.373134	0.40519	0.386613	0.372314	0.331134	0.342266	0.348233	0.360673	0.365856	0.374813	0.374087	0.382614
21_13289740	21	13289740	0.36	0.411765	0.366337	0.402985	0.383234	0.386613	0.373813	0.330734	0.341666	0.348283	0.360533	0.365796	0.374778	0.374057	0.38262
21_13293652	21	13293652	0.36	0.392157	0.376238	0.363184	0.351297	0.367632	0.382809	0.359528	0.353565	0.350882	0.362973	0.366756	0.373848	0.374691	0.382897
21_13294253	21	13294253	0.4	0.333333	0.316832	0.333333	0.399202	0.378621	0.395802	0.372326	0.351765	0.351482	0.363593	0.366396	0.373648	0.374651	0.383053
21_13294763	21	13294763	0.44	0.470588	0.445545	0.472637	0.443114	0.415584	0.391304	0.377724	0.349665	0.350482	0.362273	0.365946	0.373523	0.374711	0.383188
21_13297610	21	13297610	0.44	0.411765	0.336634	0.273632	0.297405	0.285714	0.306347	0.336333	0.361564	0.351082	0.361533	0.366196	0.372248	0.374661	0.383288
21_13301510	21	13301510	0.36	0.313725	0.306931	0.298507	0.337325	0.34965	0.370315	0.371526	0.341766	0.369382	0.370313	0.364006	0.371708	0.374861	0.383379
21_13302359	21	13302359	0.48	0.490196	0.475248	0.472637	0.407186	0.448551	0.402299	0.372925	0.347265	0.374981	0.372453	0.363076	0.370943	0.374641	0.383408
21_13304980	21	13304980	0.36	0.294118	0.316832	0.383085	0.367265	0.344655	0.337331	0.34753	0.355564	0.375781	0.376752	0.361906	0.371328	0.374135	0.383466
21_13306907	21	13306907	0.28	0.352941	0.326733	0.353234	0.377246	0.378621	0.334833	0.331734	0.389761	0.379681	0.375512	0.362036	0.371913	0.373733	0.383523
21_13308691	21	13308691	0.48	0.352941	0.336634	0.288557	0.353293	0.325674	0.328836	0.404119	0.39826	0.384381	0.375952	0.362036	0.371658	0.373443	0.383572
21_13308900	21	13308900	0.2	0.254902	0.366337	0.343284	0.321357	0.340659	0.342829	0.421316	0.39786	0.384681	0.375832	0.361976	0.371638	0.373373	0.383555
21_13308956	21	13308956	0.2	0.294118	0.356436	0.338308	0.315369	0.337662	0.346327	0.423115	0.39606	0.385131	0.375652	0.361896	0.371618	0.373351	0.383552
21_13309018	21	13309018	0.28	0.294118	0.346535	0.318408	0.323353	0.32967	0.354323	0.423915	0.394961	0.385731	0.375432	0.361846	0.371643	0.373327	0.38355
21_13316504	21	13316504	0.28	0.392157	0.415842	0.40796	0.423154	0.432567	0.414293	0.380924	0.375862	0.40358	0.372313	0.368036	0.373408	0.373197	0.383722
21_13318251	21	13318251	0.32	0.333333	0.356436	0.373134	0.359281	0.31968	0.345327	0.366127	0.375662	0.40948	0.373193	0.370046	0.374028	0.373433	0.383709
21_13319817	21	13319817	0.36	0.352941	0.356436	0.318408	0.323353	0.320679	0.351324	0.340332	0.380562	0.417129	0.372513	0.372856	0.374143	0.373223	0.383721
21_13319991	21	13319991	0.36	0.313725	0.287129	0.298507	0.323353	0.324675	0.332834	0.342531	0.383562	0.415829	0.371753	0.372516	0.374253	0.373189	0.38373
21_13320912	21	13320912	0.36	0.27451	0.257426	0.278607	0.315369	0.324675	0.321339	0.363327	0.390761	0.40513	0.371193	0.373286	0.374318	0.373035	0.383825
21_13321060	21	13321060	0.32	0.333333	0.326733	0.313433	0.285429	0.297702	0.332334	0.367926	0.391761	0.40373	0.371513	0.373496	0.374308	0.373017	0.383823
21_13324588	21	13324588	0.48	0.470588	0.376238	0.437811	0.441118	0.446553	0.438281	0.443111	0.412759	0.386481	0.371913	0.381326	0.374178	0.372983	0.383767
21_13327484	21	13327484	0.52	0.529412	0.475248	0.457711	0.469062	0.444555	0.421789	0.444311	0.419858	0.376031	0.368493	0.383796	0.373803	0.372699	0.384016
21_13341620	21	13341620	0.52	0.470588	0.50495	0.442786	0.393214	0.345654	0.34083	0.342132	0.337466	0.332833	0.374733	0.389026	0.375863	0.372671	0.384015
21_13343930	21	13343930	0.36	0.372549	0.435644	0.393035	0.367265	0.385614	0.378311	0.353929	0.341166	0.331233	0.381092	0.388976	0.376523	0.372653	0.384189
21_13343956	21	13343956	0.52	0.411765	0.405941	0.358209	0.369261	0.391608	0.376812	0.353729	0.341366	0.331433	0.381192	0.388946	0.376493	0.372651	0.384193
21_13344867	21	13344867	0.24	0.235294	0.257426	0.328358	0.291417	0.300699	0.34033	0.363327	0.344866	0.333733	0.383372	0.387876	0.376313	0.372795	0.38435
21_13349974	21	13349974	0.4	0.294118	0.306931	0.348259	0.339321	0.317682	0.321339	0.312338	0.331567	0.350332	0.397412	0.388216	0.377013	0.372813	0.385052
21_13357321	21	13357321	0.32	0.254902	0.257426	0.268657	0.347305	0.352647	0.357321	0.388522	0.39666	0.386631	0.407732	0.386516	0.377498	0.373297	0.385881
21_13361293	21	13361293	0.56	0.529412	0.49505	0.492537	0.46507	0.465534	0.466267	0.45191	0.430257	0.424279	0.406552	0.383956	0.377348	0.374701	0.386176
21_13363977	21	13363977	0.56	0.568627	0.574257	0.527363	0.510978	0.501499	0.45977	0.446311	0.469253	0.458627	0.405632	0.382536	0.377743	0.374875	0.38638
21_13366295	21	13366295	0.52	0.490196	0.425743	0.373134	0.449102	0.457542	0.447776	0.478504	0.468153	0.465577	0.405192	0.382466	0.379158	0.374619	0.38658
21_13366562	21	13366562	0.52	0.568627	0.514851	0.517413	0.447106	0.434565	0.432284	0.478304	0.471253	0.466027	0.405452	0.382446	0.379163	0.374629	0.386609
21_13374377	21	13374377	0.56	0.490196	0.465347	0.472637	0.500998	0.492507	0.481259	0.5001	0.477452	0.474076	0.403952	0.380836	0.379648	0.373739	0.387239
21_13374707	21	13374707	0.36	0.470588	0.524752	0.492537	0.497006	0.475524	0.457271	0.481104	0.484552	0.472326	0.404092	0.380206	0.379683	0.373695	0.387282
21_13375152	21	13375152	0.44	0.431373	0.445545	0.432836	0.461078	0.436563	0.438281	0.456509	0.50415	0.473276	0.404492	0.380296	0.379783	0.373659	0.387288
21_13376292	21	13376292	0.4	0.470588	0.415842	0.452736	0.439122	0.435564	0.404298	0.418716	0.517248	0.463577	0.404632	0.379086	0.380263	0.373431	0.38741
21_13376471	21	13376471	0.32	0.352941	0.386139	0.412935	0.443114	0.472527	0.391804	0.419116	0.514049	0.462427	0.404572	0.378846	0.380343	0.373375	0.387411
21_13376832	21	13376832	0.64	0.627451	0.60396	0.527363	0.461078	0.40959	0.4003	0.434313	0.509649	0.458777	0.403912	0.379026	0.380363	0.373347	0.387437
21_13377078	21	13377078	0.28	0.254902	0.29703	0.308458	0.357285	0.386613	0.387306	0.445311	0.50355	0.456627	0.403972	0.378996	0.380618	0.373323	0.38743
21_13380478	21	13380478	0.76	0.647059	0.60396	0.636816	0.664671	0.662338	0.630185	0.516897	0.433957	0.427679	0.402592	0.375836	0.381073	0.372559	0.387743
21_13381953	21	13381953	0.48	0.372549	0.316832	0.343284	0.423154	0.397602	0.404298	0.455309	0.412759	0.411029	0.403452	0.376896	0.380373	0.372129	0.387848
21_13382924	21	13382924	0.4	0.352941	0.376238	0.318408	0.329341	0.331668	0.323838	0.392721	0.405659	0.39783	0.402852	0.377916	0.380613	0.371825	0.387944
21_13384722	21	13384722	0.32	0.294118	0.376238	0.363184	0.377246	0.343656	0.318341	0.29854	0.371163	0.379381	0.401532	0.380476	0.380798	0.371871	0.38805
21_13385244	21	13385244	0.28	0.254902	0.29703	0.298507	0.303393	0.31968	0.316342	0.294341	0.352865	0.376681	0.400432	0.380896	0.381073	0.371887	0.388116
21_13388867	21	13388867	0.32	0.352941	0.415842	0.41791	0.37525	0.358641	0.33983	0.308338	0.317068	0.370481	0.393992	0.385076	0.382678	0.371769	0.388357
21_13391907	21	13391907	0.52	0.490196	0.465347	0.437811	0.401198	0.367632	0.334333	0.326735	0.327767	0.322684	0.389852	0.386396	0.383333	0.371787	0.388663
21_13395248	21	13395248	0.44	0.490196	0.445545	0.427861	0.381238	0.385614	0.34083	0.340932	0.339966	0.322384	0.382092	0.387446	0.382808	0.372753	0.388937
21_13396205	21	13396205	0.64	0.54902	0.524752	0.482587	0.371257	0.350649	0.347326	0.342332	0.337666	0.328284	0.379052	0.388176	0.382653	0.373071	0.389036
21_13396725	21	13396725	0.2	0.254902	0.267327	0.308458	0.293413	0.321678	0.343328	0.341932	0.332967	0.331033	0.376512	0.387976	0.382293	0.373109	0.389062
21_13397219	21	13397219	0.48	0.372549	0.39604	0.402985	0.355289	0.341658	0.343328	0.347331	0.326267	0.334883	0.373633	0.387876	0.382458	0.373081	0.389122
21_13397356	21	13397356	0.52	0.411765	0.39604	0.353234	0.37525	0.33966	0.334833	0.34873	0.326067	0.335133	0.372793	0.387826	0.382518	0.373071	0.389143
21_13399490	21	13399490	0.2	0.215686	0.277228	0.338308	0.301397	0.315684	0.352324	0.325135	0.329967	0.336583	0.364193	0.389256	0.383148	0.373245	0.389326
21_13400393	21	13400393	0.32	0.27451	0.336634	0.353234	0.347305	0.324675	0.321839	0.316937	0.327567	0.340533	0.363293	0.389776	0.382898	0.373669	0.389397
21_13400790	21	13400790	0.24	0.254902	0.277228	0.253731	0.261477	0.285714	0.304348	0.313337	0.333467	0.341333	0.363793	0.389546	0.382828	0.373839	0.38946
21_13400868	21	13400868	0.2	0.254902	0.287129	0.298507	0.261477	0.274725	0.29935	0.317936	0.333167	0.340783	0.363713	0.389656	0.382793	0.373843	0.38946
21_13400911	21	13400911	0.4	0.372549	0.326733	0.293532	0.269461	0.276723	0.292854	0.317736	0.333467	0.340933	0.363833	0.389716	0.382773	0.373841	0.389462
21_13401034	21	13401034	0.2	0.235294	0.267327	0.273632	0.287425	0.268731	0.287856	0.321736	0.334467	0.341533	0.363633	0.390036	0.382763	0.373847	0.389459
21_13403235	21	13403235	0.56	0.470588	0.554455	0.507463	0.431138	0.407592	0.336332	0.324935	0.336666	0.345883	0.362213	0.390736	0.382638	0.374365	0.389633
21_13403408	21	13403408	0.48	0.431373	0.465347	0.527363	0.52495	0.384615	0.343328	0.327335	0.335466	0.346433	0.361993	0.390976	0.382568	0.374357	0.389649
21_13403574	21	13403574	0.64	0.54902	0.534653	0.527363	0.443114	0.391608	0.352824	0.329134	0.337866	0.346733	0.362073	0.391226	0.382553	0.374357	0.389685
21_13403634	21	13403634	0.6	0.607843	0.49505	0.462687	0.393214	0.393606	0.350325	0.331334	0.338466	0.346333	0.362053	0.391366	0.382568	0.374377	0.389694
21_13403842	21	13403842	0.2	0.196078	0.19802	0.233831	0.301397	0.341658	0.342829	0.332134	0.334167	0.346333	0.362053	0.391276	0.382458	0.374369	0.38974
21_13405863	21	13405863	0.36	0.431373	0.376238	0.368159	0.423154	0.412587	0.386307	0.355129	0.343866	0.350282	0.347093	0.392306	0.382358	0.374073	0.389765
21_13407652	21	13407652	0.24	0.235294	0.287129	0.283582	0.315369	0.336663	0.35982	0.371526	0.363864	0.354282	0.348553	0.393086	0.381613	0.374039	0.390079
21_13407731	21	13407731	0.32	0.294118	0.287129	0.308458	0.313373	0.334665	0.348826	0.372525	0.364864	0.354482	0.348513	0.392966	0.381693	0.374073	0.390097
21_13408015	21	13408015	0.56	0.568627	0.50495	0.412935	0.381238	0.358641	0.343828	0.371526	0.369763	0.354982	0.349313	0.392946	0.381638	0.374091	0.390142
21_13408557	21	13408557	0.44	0.372549	0.39604	0.422886	0.361277	0.350649	0.35982	0.362527	0.362464	0.353082	0.350113	0.393166	0.381543	0.374067	0.390234
21_13408863	21	13408863	0.2	0.294118	0.29703	0.323383	0.333333	0.355644	0.36082	0.366927	0.360364	0.351482	0.350613	0.393226	0.381648	0.374033	0.390293
21_13409268	21	13409268	0.28	0.27451	0.29703	0.363184	0.37525	0.360639	0.366317	0.368126	0.363464	0.352632	0.351953	0.392926	0.381748	0.374085	0.390365
21_13409278	21	13409278	0.28	0.27451	0.277228	0.348259	0.383234	0.35964	0.366317	0.367127	0.363064	0.352682	0.352033	0.392926	0.381748	0.374087	0.390367
21_13409638	21	13409638	0.44	0.431373	0.39604	0.338308	0.361277	0.381618	0.361319	0.367127	0.364664	0.354682	0.353033	0.392316	0.381763	0.374093	0.390433
21_13411277	21	13411277	0.44	0.392157	0.415842	0.41791	0.437126	0.401598	0.392304	0.370526	0.369263	0.359082	0.357973	0.391086	0.379983	0.373831	0.390379
21_13411772	21	13411772	0.32	0.372549	0.336634	0.373134	0.393214	0.417582	0.384308	0.366727	0.368363	0.361382	0.359953	0.390606	0.379718	0.373857	0.390355
21_13411964	21	13411964	0.4	0.45098	0.376238	0.368159	0.37525	0.377622	0.395802	0.364127	0.368763	0.362582	0.360853	0.390716	0.379708	0.373841	0.390322
21_13412623	21	13412623	0.36	0.372549	0.326733	0.353234	0.373253	0.380619	0.365317	0.369126	0.372463	0.364882	0.363373	0.390156	0.379488	0.373747	0.390316
21_13415998	21	13415998	0.52	0.392157	0.415842	0.373134	0.393214	0.388611	0.384308	0.364527	0.370663	0.365832	0.367033	0.390696	0.380738	0.374959	0.390322
21_13417953	21	13417953	0.24	0.215686	0.247525	0.243781	0.335329	0.332667	0.347326	0.370526	0.362464	0.367082	0.368333	0.389226	0.381568	0.375639	0.390146
21_13418249	21	13418249	0.16	0.254902	0.247525	0.263682	0.271457	0.306693	0.338831	0.366127	0.361264	0.365532	0.367753	0.388786	0.381478	0.375593	0.390121
21_13419388	21	13419388	0.52	0.490196	0.50495	0.452736	0.387226	0.394605	0.369315	0.361328	0.364164	0.366032	0.369153	0.385216	0.381733	0.375605	0.390072
21_13419438	21	13419438	0.52	0.431373	0.415842	0.437811	0.389222	0.414585	0.372314	0.360928	0.363564	0.366282	0.369213	0.385036	0.381708	0.375595	0.390074
21_13420010	21	13420010	0.36	0.294118	0.287129	0.383085	0.407186	0.391608	0.374813	0.354529	0.361164	0.364682	0.370053	0.385196	0.382013	0.375651	0.390094
21_13423154	21	13423154	0.4	0.392157	0.336634	0.303483	0.311377	0.323676	0.337831	0.363727	0.359064	0.369182	0.373313	0.379576	0.382683	0.375335	0.389994
21_13423425	21	13423425	0.28	0.27451	0.316832	0.318408	0.299401	0.314685	0.338331	0.360728	0.359664	0.370431	0.373493	0.379116	0.382508	0.375215	0.390016
21_13423773	21	13423773	0.12	0.235294	0.287129	0.323383	0.321357	0.324675	0.316342	0.355529	0.366863	0.371681	0.372973	0.378766	0.382188	0.375201	0.390033
21_13426130	21	13426130	0.16	0.235294	0.277228	0.308458	0.287425	0.332667	0.386307	0.369526	0.350665	0.381681	0.375732	0.377766	0.382028	0.375119	0.38996
21_13428532	21	13428532	0.56	0.588235	0.554455	0.472637	0.443114	0.378621	0.344328	0.342731	0.380462	0.39158	0.377712	0.377886	0.382763	0.375169	0.389821
21_13430273	21	13430273	0.36	0.235294	0.257426	0.253731	0.271457	0.277722	0.325337	0.381724	0.391761	0.388431	0.381652	0.373066	0.382648	0.375729	0.389846
21_13430277	21	13430277	0.36	0.254902	0.247525	0.253731	0.269461	0.278721	0.325837	0.382124	0.391961	0.388531	0.381692	0.373046	0.382643	0.375727	0.389847
21_13430429	21	13430429	0.32	0.313725	0.326733	0.268657	0.283433	0.275724	0.334333	0.383323	0.390661	0.389831	0.382012	0.372916	0.382558	0.375823	0.389864
21_13443583	21	13443583	0.44	0.431373	0.356436	0.353234	0.321357	0.321678	0.354323	0.389922	0.377962	0.39158	0.389972	0.377886	0.385563	0.377741	0.389918
21_13446089	21	13446089	0.32	0.372549	0.336634	0.38806	0.447106	0.415584	0.424288	0.393321	0.379662	0.388231	0.390392	0.377826	0.385703	0.378757	0.389783
21_13446612	21	13446612	0.24	0.313725	0.346535	0.313433	0.351297	0.368631	0.376812	0.39872	0.381562	0.387581	0.389912	0.377106	0.385543	0.378767	0.389823
21_13447758	21	13447758	0.6	0.431373	0.376238	0.38806	0.38523	0.356643	0.366317	0.388322	0.375962	0.384431	0.389752	0.377386	0.385428	0.379401	0.389811
21_13448087	21	13448087	0.28	0.372549	0.445545	0.393035	0.417166	0.382617	0.365317	0.377125	0.375062	0.383381	0.390132	0.377206	0.385383	0.379553	0.389805
21_13451254	21	13451254	0.28	0.294118	0.287129	0.343284	0.347305	0.386613	0.350825	0.363727	0.379062	0.383681	0.392792	0.377926	0.385903	0.379609	0.389619
